cmtid,author_username,model_name,product_name,rating_star,comment,submit_time
45106115131,nadaoctamustikhaeecha,Hngr benmore coklat,Hanger anak plastik benmore 1 pak isi 6pcs grosir,5,,2025-05-29 12:22:05
45106056201,ilminurjannah25,12BJ Ctkn LOVE,(12pcs) Cetakan roti kukus bentuk love rege cerah plastik dx,5,,2025-05-29 12:18:30
45106056200,ilminurjannah25,Gelas ukur pipih,Gelas ukur/takar air gula tebung oval 650 ml by LS plastik grosir,5,,2025-05-29 12:18:30
45106056199,ilminurjannah25,Waskom puding kecil,Cetakan jelly puding bulet 16 cm plastik KH serbaguna,5,,2025-05-29 12:18:30
45105954533,dusray_nsm,Hngr benmore coklat,Hanger anak plastik benmore 1 pak isi 6pcs grosir,5,,2025-05-29 12:11:57
45105941371,primastutik,K kancing Panjang SS,"kotak kancing panjang 20,5 cm lebar 4- 9 tinggi 4 cm - Tempat alat tulis serbaguna Suryaplast tebal",5,,2025-05-29 12:11:06
45105941370,primastutik,12BJ KRJ SURAT SP,(Isi 12pcs) Keranjang surat segi panjang sp - Tempat sendok alat tulis kantor plastik grosir,5,,2025-05-29 12:11:06
45105941369,primastutik,12bj_sikat kayu,(12pcs) sikat baju kayu pakaian murah berkualitas grosir,5,,2025-05-29 12:11:06
45105861650,xl367d6oz_,12bj solet kecil,(12pcs) Solet pelet kue plastik Nice spatula murah serbaguna grosir,5,,2025-05-29 12:06:25
45105831457,rofahsyarofah067,Sutil stainles gajah,Sutil stainless terusan tanggung cap gajah - sutil buntu murah,5,,2025-05-29 12:04:36
45105742096,hendrikustanto843,Tempat sendok moly,Tempat sendok alat tulis gandeng moly coklat grosir,3,,2025-05-29 11:59:09
45105723943,susiindayani123,"Keranjang surat sp,Warna merah",Keranjang surat segi panjang super - Tempat alat tulis kantor grosir,5,,2025-05-29 11:58:09
45105723941,susiindayani123,12bj_solet besar,(12pcs) Solet jumbo smile plastik serbaguna tebal - solet kue murah,5,,2025-05-29 11:58:09
45105723940,susiindayani123,TA-265 Tanggung,Gunting estika stainless kemasan mika ukuran kecil tanggung besar,5,,2025-05-29 11:58:09
45105723938,susiindayani123,12bj Lap_warna,(12 pcs) lap serbet dapur warna warni besar tebal kotak kotak 51x51 cm - grosir lap dapur warna,5,,2025-05-29 11:58:09
45105723936,susiindayani123,"1 _bks isi staples,Biasa",isi staples e star No 10 kecil grosir termurah,5,Desain:oke. Kualitas:oke. Kegunaan:untuk rumah tangga.... 👍👍👍👍,2025-05-29 11:58:09
45105682294,rasyaabinaya,"Colpot 1,4 yoyo","Eskan minum coolpot yoyo star 1,4 liter plastik tebal",4,,2025-05-29 11:55:50
45105620023,ettyyety,Rak saigon segi,Rak bumbu plastik ssn3 tinggi saigon segi,1,,2025-05-29 11:52:02
45105620022,ettyyety,"Kursi Lumba-Lumba,Isi 1 pcs",Kursi jongkok anak lumba lumba warna dx kuat dan kokoh,1,"Pesannya 2, kursi jongkok dan lemari bumbu yang dikirim cuma 1 kursinya aja. Sangat TIDAK AMANAH",2025-05-29 11:52:27
45105591670,wantyhasby,"Eskan RR Tgg,Isi 1 pcs","(isi 6pcs) Eskan minum 2,1 liter RR bening tanggung motif bunga plasik",5,,2025-05-29 11:50:20
45105591669,wantyhasby,"Tatakan bulat,Original",Tatakan kompor gas tatakan bulet kompor umum grosir termurah,5,,2025-05-29 11:50:20
45105579695,anwarianwari641,Krj alvaro soft,Keranjang belanja serbaguna alvaro plastik + tutup + tentengan warna shoft,4,Warna tidak sesuai oesanan,2025-05-29 11:49:37
