cmtid,author_username,model_name,product_name,rating_star,comment,submit_time
46613025207,bersabarlahhatiku,Tempat bumbu amanda,Tempat bumbu dapur isi 4 plastik amanda plus sendok,5,,2025-06-05 12:24:26
46613025194,bersabarlahhatiku,Rak lovina Gold,Rak plastik serbaguna susun 3 lovina warna gold,5,,2025-06-05 12:24:26
46612599670,azahwa02,Perasan jeruk biasa,Perasan jeruk ipp plastik bening dx grosir - perasan jeruk tangan,5,,2025-06-05 12:20:23
46612367965,elviraageng,10bks korek pelangi,(10bks) korek batang kayu jadul gambar grosir,5,,2025-06-05 12:18:06
46611171379,ninx19,CLG kucing putih,Celengan plastik tebal bentuk kucing dan apar,5,,2025-06-05 12:06:07
46610943645,ellaefrika123,"Keranjang surat sp,Tidak milih warna",Keranjang surat segi panjang super - Tempat alat tulis kantor grosir,5,,2025-06-05 12:03:34
46610474867,aaateyaaa,Kri sailormon,Keranjang mainan sabun kecil plus tentengan sailormon NC plastik tebal,5,,2025-06-05 11:58:48
46610371438,novisaa05,Rak segi Flower,Rak Mini segi susun 3 Flower - Rak bumbu kosmetik serbaguna,5,,2025-06-05 11:57:38
46610361410,novisaa05,Hngr benmore coklat,Hanger anak plastik benmore 1 pak isi 6pcs grosir,5,,2025-06-05 11:57:28
46610307180,f3u0nwbl06,Termos eagle no4,Rice ice bucket - Termos nasi eagle no4 no6 no8 free centong dan saringan,1,Barang ny tdi sesuai yg di pesan 6pcs yg DTG hnya 4pcs kecwe banget rekomendasi kn yg mau cod bnyk jdi d tokoh in soalny ngk amanah  klu ngk mau kecewa+rugi jngn pesan di toko in ngk amanah aku pengen nangis yg dtgny hny 4pcs pdhl yg di pesan 6pcs 😭,2025-06-05 11:56:59
46609717352,sbop8e3v4_,12BJ KRJ SURAT SP,(Isi 12pcs) Keranjang surat segi panjang sp - Tempat sendok alat tulis kantor plastik grosir,5,,2025-06-05 11:51:52
46609622084,alvnam,"Cangkir enamel 6cm,Lurik",Cangkir mug enamel lurik dan polos ukuran 6 cm per 1 pcs,5,,2025-06-05 11:51:03
46609351383,hosnaa12,Tempat bumbu amanda,Tempat bumbu dapur isi 4 plastik amanda plus sendok,5,,2025-06-05 11:48:39
46609351374,hosnaa12,Keset sumbu kecil,Keset sumbu kecil tebal - keset kain serbaguna grosir,5,,2025-06-05 11:48:39
46609351363,hosnaa12,1bj Lap_warna acak,(1 pcs) Lap serbet warna dapur kotak kotak tebal ukuran besar 51x51 cm - grosir lap termurah,5,,2025-06-05 11:48:39
46609351357,hosnaa12,Ttkan panci Polos,Tatakan panci bahan kawat tahan panas murah berkualitas,5,,2025-06-05 11:48:39
46609351348,hosnaa12,"Capitan,Besar",Pencapit capitan kue minyak stainless steel murah termurah,5,,2025-06-05 11:48:39
46609029317,englland,12bj Lap_warna,(12 pcs) lap serbet dapur warna warni besar tebal kotak kotak 51x51 cm - grosir lap dapur warna,5,,2025-06-05 11:45:43
46608414001,_n4t7b178_,1pk lilin panda,(1pak) lilin cakra besar panjang 15 cm per pak 8 bj - Lilin putih grosir,2,,2025-06-05 11:39:52
46608395683,p0qvy11iqw,Kapstok jempol_6,kapstok baju stainless 6 kait - gantungan baju stainless muran,4,,2025-06-05 11:40:14
46608097431,mecca010123,Oil jug SALLY 2L,Oil Jug tempat minyak sally 2 Liter plastik + Tutup,5,,2025-06-05 11:36:39
46608097428,mecca010123,1bj Merk T-30,(1pcs) Gosok stainless cuci piring anti karat 18 gram grosir,5,,2025-06-05 11:36:39
46608097424,mecca010123,Kardus saftey,Tambahan packing kardus paket tambahan agar safety,5,,2025-06-05 11:36:39
46608035916,solechah044,TS capucino kecil,kotak sabun sendok segi capucino ukuran kecil panjang,5,Kualitas:sangat tebal. Tampilan:ok. Performa:ok,2025-06-05 11:35:44
46607813651,_o15c0hd5k,12Bj jasmine besar,(12bj) Cetakan bunga jasmine plastik 7 cm kukus puding bolu per lusin,5,,2025-06-05 11:33:40
46607506810,saikhusetiawan,12bj ctakn Melati,(12bj) cetakan puding jelly bunga melati kukus plastik warna dx rainbow,5,Performa:bagus. Kualitas:bagus. Tampilan:menarik,2025-06-05 11:30:26
46607251661,kuswatunhasana262,12BJ KRJ SURAT SP,(Isi 12pcs) Keranjang surat segi panjang sp - Tempat sendok alat tulis kantor plastik grosir,5,,2025-06-05 11:27:54
46606685964,a5vw_hhz0o,Kapstok jempol_6,kapstok baju stainless 6 kait - gantungan baju stainless muran,5,,2025-06-05 11:22:00
46605759456,e*****t,Hngr benmore coklat,Hanger anak plastik benmore 1 pak isi 6pcs grosir,5,"Performa:okke. Tampilan:bagus. Kualitas:sangat bagus. Realficture, harga super murah, packing super aman",2025-06-05 11:13:05
46605759451,e*****t,"Keranjang surat sp,Tidak milih warna",Keranjang surat segi panjang super - Tempat alat tulis kantor grosir,5,"Kualitas:sangat bagus. Tampilan:okke. Performa:mantap. Realficture, packing super aman, muraah, tapi kualitas baguuus",2025-06-05 11:13:05
46605759447,e*****t,Buku tabungan,Bukut tabungan murah isi 12 halaman warna warni grosir,5,Kualitas:okke. Super muraah,2025-06-05 11:13:05
46605701368,z*****a,1pak lilin cakra,(1pak) lilin cakra besar panjang 15 cm per pak 8 bj - Lilin putih grosir,5,,2025-06-05 11:12:28
